step,node_index,x,y,step_distance,cumulative_distance
411,240,153.957346,666.073196,6.105113,10767.563255
412,58,146.139234,655.931717,12.805174,10780.368429
413,491,132.874862,639.756906,20.918127,10801.286556
414,89,126.106229,634.782754,8.399797,10809.686352
415,782,122.600855,620.398167,14.805539,10824.491891
416,631,139.232012,609.920267,19.656596,10844.148487
417,435,154.765948,599.0686,18.948928,10863.097415
418,941,120.891755,573.344893,42.53434,10905.631755
419,138,110.948049,570.00764,10.488782,10916.120537
420,382,94.503715,556.261692,21.432853,10937.55339
421,462,72.40269,537.861589,28.75794,10966.31133
422,750,82.740869,519.030014,21.482695,10987.794025
423,408,90.526621,512.936572,9.886757,10997.680783
424,957,110.297385,482.915749,35.94625,11033.627033
425,168,126.146971,475.164161,17.643597,11051.270629
426,562,122.82207,464.588818,11.085705,11062.356334
427,159,125.978799,460.10439,5.484071,11067.840405
428,314,126.670671,448.784986,11.340529,11079.180934
429,340,121.093087,444.392803,7.099346,11086.28028
430,475,106.356283,438.023834,16.054195,11102.334474
431,133,92.158728,442.712416,14.951701,11117.286175
432,45,88.788905,433.200314,10.091372,11127.377547
433,743,92.168615,420.820545,12.832814,11140.210361
434,354,79.324772,393.653265,30.050381,11170.260743
435,879,56.378786,401.721374,24.323089,11194.583831
436,99,62.44219,414.727355,14.349928,11208.933759
437,28,73.290778,456.76707,43.416926,11252.350685
438,366,63.177253,465.789785,13.553331,11265.904016
439,977,60.792459,472.888424,7.488519,11273.392535
440,688,31.518781,480.885209,30.346281,11303.738816
441,967,29.165217,442.237579,38.719227,11342.458043
442,754,30.557872,415.445636,26.828114,11369.286157
443,665,5.300976,406.609476,26.757963,11396.044119
444,193,3.286539,350.542378,56.103275,11452.147394
445,180,9.541469,327.381936,23.99021,11476.137604
446,909,34.745237,338.016404,27.355471,11503.493076
447,44,62.608775,355.061447,32.663592,11536.156668
448,753,76.150511,343.702979,17.674655,11553.831322
449,598,80.922696,356.491751,13.650144,11567.481467
450,451,92.280365,366.436982,15.096498,11582.577965
451,365,82.896781,385.578674,21.317974,11603.895939
452,932,117.003246,387.74643,34.175286,11638.071225
453,211,130.091177,410.747678,26.464152,11664.535377
454,858,144.785858,409.027701,14.794998,11679.330374
455,530,142.671607,451.109354,42.134731,11721.465105
456,174,151.697465,461.334591,13.638973,11735.104079
457,350,196.885716,482.308498,49.818498,11784.922577
458,425,206.987051,453.116609,30.890182,11815.812759
459,759,225.656618,469.305026,24.710677,11840.523437
460,455,239.170463,464.30379,14.409593,11854.93303
461,49,262.54002,472.51074,24.768735,11879.701765
462,441,270.86498,491.530681,20.762059,11900.463823
463,559,274.483069,501.382702,10.495375,11910.959198
464,88,224.149807,501.257553,50.333417,11961.292615
465,738,189.360724,517.382702,38.3445,11999.637115
466,710,177.501686,493.829313,26.370418,12026.007533
467,395,197.341771,529.433848,40.759194,12066.766728
468,262,184.028607,529.139853,13.31641,12080.083137
469,443,159.192258,530.69,24.884677,12104.967815
470,101,174.878678,559.030469,32.392065,12137.35988
471,296,178.827873,558.162547,4.043442,12141.403322
472,243,189.81954,569.344012,15.679347,12157.082669
473,883,190.310596,568.078915,1.357058,12158.439727
474,79,194.163295,564.62449,5.174586,12163.614313
475,683,214.973174,577.74673,24.601712,12188.216025
476,635,225.730038,584.76137,12.841935,12201.05796
477,942,226.373065,595.574314,10.832047,12211.890007
478,434,225.456772,597.806142,2.412603,12214.30261
479,914,215.147396,602.873834,11.48759,12225.7902
480,16,206.862471,608.902526,10.246224,12236.036425
481,284,231.729216,627.136154,30.835373,12266.871798
482,570,224.227323,647.992234,22.164261,12289.036059
483,534,265.762931,624.045911,47.944063,12336.980122
484,955,277.471869,614.160744,15.323699,12352.303821
485,373,296.703459,588.081312,32.403562,12384.707383
486,429,258.374579,573.038305,41.175176,12425.882559
487,404,268.252032,561.662579,15.065564,12440.948122
488,471,286.936448,538.86701,29.474487,12470.422609
489,842,294.076442,527.53993,13.389632,12483.812241
490,574,309.476274,536.418339,17.775853,12501.588095
491,984,321.791915,538.617114,12.510381,12514.098476
492,81,341.144246,537.681998,19.37491,12533.473386
493,687,338.118168,519.5467,18.386032,12551.859417
494,701,323.508447,493.109113,30.205794,12582.065211
495,289,337.842641,480.888383,18.836543,12600.901755
496,140,356.466242,493.21881,22.335576,12623.237331
497,493,393.37713,493.017932,36.911435,12660.148766
498,445,401.310761,474.412531,20.226305,12680.375071
499,792,421.037924,465.885708,21.491107,12701.866178
500,527,422.826008,461.377934,4.849461,12706.715639
501,334,436.770826,447.377329,19.760438,12726.476077
502,126,416.05671,424.976476,30.510209,12756.986285
503,422,374.186656,450.209822,48.885818,12805.872103
504,714,356.235706,437.317603,22.100813,12827.972916
505,260,364.790846,420.8016,18.600236,12846.573152
506,446,381.675151,419.380764,16.943982,12863.517134
507,928,391.353375,372.250972,48.113255,12911.630389
508,95,420.76167,358.670557,32.392522,12944.022911
509,703,424.387162,355.609646,4.744826,12948.767736
510,428,428.309794,377.598257,22.335757,12971.103493
